자치구,순위,전체 점수,비상소화장치 설치개수 점수,서울시 주거 시설 중 주택 비율 점수,인구밀도(명/km^2) 점수,노후 주택 수 점수,소방관 1명당 담당인구 점수,화재발생건수 점수,안전센터 1개소당 담당인구 점수,출동소요시간 점수,고령자 수 점수,비상소화장치 설치개수,서울시 주거 시설 중 주택 비율,인구밀도(명/km^2),노후 주택 수,소방관 1명당 담당인구,화재발생건수,안전센터 1개소당 담당인구,출동소요시간,고령자 수
강남구,7,147,18,25,7,9,14,20,15,18,21,65,65.983764,13932,24073,1454,76,88184,377.153203,86606
강동구,12,123,12,24,18,7,16,10,12,5,19,87,63.813746,18841,20483,1534,51,76678,326.475806,82984
강북구,17,105,9,23,4,22,5,13,9,8,12,106,63.805248,12414,39806,1219,62,73415,338.432836,68617
강서구,3,165,21,22,6,23,22,9,16,22,24,52,57.850339,13723,40600,1795,50,94861,394.221687,102096
관악구,2,174,5,21,13,24,21,25,25,20,20,169,55.97636,16838,43306,1776,119,121688,387.541593,85418
광진구,8,141,19,20,20,14,15,12,22,13,6,64,53.874021,20582,27190,1520,56,112472,363.98481,56819
구로구,10,136,17,19,21,17,11,15,5,14,17,71,50.048582,20656,29845,1292,63,65886,364.356083,79984
금천구,9,139,25,18,17,4,6,23,23,19,4,29,48.382956,18517,17727,1228,82,114821,384.069343,45342
노원구,13,121,23,17,8,2,23,2,19,4,23,48,45.236513,14191,15808,1819,36,100747,322.060976,96422
도봉구,15,112,20,16,9,12,13,15,13,1,13,54,44.832313,14987,25269,1332,63,77924,292.0317,70436
동대문구,19,94,11,15,25,8,8,8,6,3,10,93,41.498728,25315,22207,1242,48,67329,313.671875,67030
동작구,5,152,4,14,23,18,19,19,17,24,14,189,41.30447,23826,30201,1613,73,95149,415.327103,70474
마포구,18,95,8,13,10,15,4,17,4,17,7,110,41.003644,15727,28073,1161,66,60773,376.418773,57895
서대문구,16,108,6,12,16,16,9,15,11,15,8,140,39.862625,18190,29297,1261,63,76584,367.032172,58113
서초구,20,88,15,11,2,6,10,3,7,25,9,78,38.65808,8774,19445,1271,41,67388,424.512953,65661
성동구,21,85,16,10,14,3,7,11,8,11,5,77,37.817504,16930,15935,1232,55,70250,357.004132,49462
성북구,14,120,3,9,15,21,20,5,20,9,18,217,37.162944,17828,36091,1735,43,107599,343.964981,80414
송파구,1,178,24,8,19,20,25,24,21,12,25,34,36.886429,19483,32395,2040,92,109800,357.089372,108894
양천구,6,148,21,7,24,19,18,7,14,23,15,52,35.696771,25236,30637,1586,47,88176,402.440678,76317
영등포구,22,79,12,6,12,5,12,4,10,7,11,87,35.464493,16203,18779,1314,42,75135,333.317597,67509
용산구,23,74,7,5,3,11,3,18,3,21,3,135,30.13805,10386,24462,868,71,43730,388.873606,39747
은평구,4,155,14,4,11,25,24,21,24,10,22,83,29.40893,15849,48925,1823,79,116687,348.85396,93817
종로구,24,41,1,3,1,10,2,5,1,16,2,268,26.272179,6292,24094,474,43,23563,374.111969,28764
중구,25,17,2,2,5,1,1,1,2,2,1,224,24.922857,13232,11550,435,23,24087,310.705036,25920
중랑구,11,125,10,1,22,13,17,22,18,6,16,96,13.483351,20948,26933,1579,81,96330,329.596154,78955
