사망수,부상자수,재산피해금액,출동소요시간,화재진압시간,시군구명,읍면동명,경도,위도,계절,시간대,화재발생일시
0,0,50,421,11702,구로구,구로동,126.8758612,37.5042352,겨울,밤,2021-01-01 0:00:00
0,0,100,447,0,동대문구,이문동,127.0622822,37.6019984,겨울,낮,2021-01-01 13:16:00
0,2,661,514,2249,서초구,우면동,127.0274396,37.4641175,겨울,낮,2021-01-01 13:43:00
0,0,498,427,1256,성북구,장위동,127.0415366,37.6138022,겨울,낮,2021-01-01 16:17:00
0,0,29,427,312,강서구,가양동,126.8514494,37.5689162,겨울,낮,2021-01-02 16:04:00
0,0,6304,500,2700,은평구,불광동,126.9259428,37.6271533,겨울,낮,2021-01-03 8:32:00
0,0,23,431,0,관악구,신림동,126.9288823,37.4838299,겨울,낮,2021-01-03 17:31:00
0,0,3965,436,2440,노원구,공릉동,127.0854336,37.6255265,겨울,낮,2021-01-03 18:15:00
0,0,50,423,414,송파구,송파동,127.1108579,37.5093046,겨울,밤,2021-01-04 0:09:00
0,0,173,436,329,서대문구,홍제동,126.9415212,37.5905356,겨울,밤,2021-01-04 4:18:00
0,0,4,521,2027,강남구,대치동,127.0546219,37.5002033,겨울,낮,2021-01-04 7:42:00
0,0,438,431,631,중랑구,상봉동,127.0933899,37.6039653,겨울,낮,2021-01-04 9:15:00
0,0,11,500,0,성동구,홍익동,127.0352215,37.5655242,겨울,밤,2021-01-04 21:13:00
0,0,1877,442,706,강남구,신사동,127.0214621,37.5226738,겨울,밤,2021-01-05 4:57:00
0,0,6028,500,0,구로구,개봉동,126.8550193,37.489814,겨울,낮,2021-01-05 11:23:00
0,0,48,420,900,송파구,잠실동,127.0817447,37.5085557,겨울,낮,2021-01-05 13:19:00
0,0,60,455,3355,금천구,독산동,126.9041166,37.4730972,겨울,낮,2021-01-07 12:23:00
0,0,635,426,0,강남구,도곡동,127.0439503,37.4923051,겨울,낮,2021-01-07 16:06:00
0,0,2658,905,800,광진구,군자동,127.0709028,37.5530078,겨울,낮,2021-01-07 16:32:00
0,0,2016,530,1930,광진구,화양동,127.0663719,37.5445572,겨울,낮,2021-01-07 18:46:00
0,0,27,452,0,구로구,구로동,126.8821874,37.4898436,겨울,밤,2021-01-08 4:27:00
0,0,189,430,1029,서대문구,남가좌동,126.9245569,37.5778588,겨울,밤,2021-01-08 5:27:00
0,0,150,424,711,성동구,용답동,127.0518255,37.5649067,겨울,낮,2021-01-08 11:07:00
0,0,132,730,30,관악구,남현동,126.9803297,37.4723302,겨울,낮,2021-01-08 12:00:00
0,0,17,452,50,양천구,목동,126.864408,37.5483911,겨울,밤,2021-01-08 19:26:00
